id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10386,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19455381.0,19455381.0,False,,1,,,,2023-08-12T18:15:00.000Z,29411.901174871684,6469617838.526698,-37.4536,-0.12517864,0.30895105,1.28631175,-6.38896139,13.42928099,9.11058288,572219743291.4762,48.7437,617649924672.31,,2023-08-12T18:15:00.000Z,,,,,,2023-08-12 23:47:33.579098
1027,Ethereum,ETH,ethereum,7228,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120147264.7768211,120147264.7768211,True,,2,,,,2023-08-12T18:15:00.000Z,1847.756022838381,2425619902.1562004,-26.6437,-0.15447699,0.33971573,0.80813401,-8.14471099,5.86728343,2.27374379,222002832118.9289,18.9111,222002832118.93,,2023-08-12T18:15:00.000Z,,,,,,2023-08-12 23:47:33.579098
825,Tether USDt,USDT,tether,59314,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83410866925.61348,86684257831.22595,True,,3,,,,2023-08-12T18:15:00.000Z,0.9997278400605085,13676790424.031652,-77.3718,0.01272917,0.08898026,0.09007339,-0.07195683,-0.01824647,-0.07556889,83388165829.11807,7.1033,86660665848.86,,2023-08-12T18:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-08-12 23:47:33.579098
1839,BNB,BNB,bnb,1565,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153853055.1455394,153853055.1455394,False,,4,,,,2023-08-12T18:15:00.000Z,240.5578592052622,290366872.4029963,-23.9653,-0.12433955,0.67709184,-0.71994443,-6.4757597,1.04611013,-23.09467604,37010561578.00011,3.1527,37010561578.0,,2023-08-12T18:15:00.000Z,,,,,,2023-08-12 23:47:33.579098
52,XRP,XRP,xrp,1026,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52787284454.0,99988519823.0,False,,5,,,,2023-08-12T18:15:00.000Z,0.629467444575402,513612797.8359014,-43.496,-0.141955,-0.08887316,0.44007152,-20.68947277,22.48921192,47.64236744,33227877051.33423,2.8305,62946744457.54,,2023-08-12T18:15:00.000Z,,,,,,2023-08-12 23:47:33.579098
3408,USD Coin,USDC,usd-coin,13582,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26139012960.465454,26139012960.465454,False,,6,,,,2023-08-12T18:15:00.000Z,1.000300707538711,1767078255.4885342,-28.4647,0.01282685,0.02537725,0.03421326,0.02786187,0.025993,0.01599305,26146873158.71713,2.2273,26146873158.72,,2023-08-12T18:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-12 23:47:33.579098
74,Dogecoin,DOGE,dogecoin,765,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140562706383.70523,140562706383.70523,True,,7,,,,2023-08-12T18:15:00.000Z,0.07667489685258547,285785398.1055465,25.7132,-0.40603705,1.79562668,1.14142593,9.521648,25.089592,6.56622705,10777631013.290855,0.9181,10777631013.29,,2023-08-12T18:15:00.000Z,,,,,,2023-08-12 23:47:33.579098
2010,Cardano,ADA,cardano,889,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35034753817.478,36061170836.355,False,,8,,,,2023-08-12T18:15:00.000Z,0.29246409350727415,112259141.11894375,-20.2008,-0.24779329,-0.71497698,0.1343335,-12.86894391,6.59236548,-20.89784336,10246407516.479216,0.8728,13160884207.83,,2023-08-12T18:15:00.000Z,,,,,,2023-08-12 23:47:33.579098
5426,Solana,SOL,solana,497,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,405970092.05132556,554756238.1407213,True,,9,,,,2023-08-12T18:15:00.000Z,24.662844066030434,233614638.85053346,-25.9972,-0.37552324,0.73970115,9.24856421,-7.10732604,64.48534664,17.62621791,10012377075.733864,0.8528,13681866595.92,,2023-08-12T18:15:00.000Z,,,,,,2023-08-12 23:47:33.579098
1958,TRON,TRX,tron,808,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89489842216.51918,89489880936.1277,True,,10,71659659264.0,5541687667.382733,,2023-08-12T18:15:00.000Z,0.07733343591499237,128795814.76790828,-11.3582,-0.10909488,0.54210141,0.16531499,-4.29302746,7.76695907,11.85778971,6920556978.093965,0.5895,6920559972.41,,2023-08-12T18:15:00.000Z,,,,,,2023-08-12 23:47:33.579098
